partner_id,partner_name,zone,vehicle_type,avg_rating,total_deliveries,status,experience_months,lat,lng
DP_00129,Arun Das,Koramangala,ev_scooter,4.1,7644,on_break,30,12.971748,77.512218
DP_00130,Rahul Naik,Sarjapur Road,scooter,4.8,176,active,1,12.956418,77.528726
DP_00131,Amit Sharma,Marathahalli,bicycle,4.0,1354,active,26,13.001812,77.631911
DP_00132,Raj Gowda,Koramangala,ev_scooter,4.9,5675,active,37,12.922551,77.514572
DP_00133,Suresh Das,Marathahalli,scooter,4.0,3309,on_break,39,13.043234,77.611505
DP_00134,Raj Yadav,Basavanagudi,scooter,4.1,5038,active,35,13.030212,77.690617
DP_00135,Naveen Kumar,Electronic City,bicycle,4.7,7843,active,47,12.93447,77.668353
DP_00136,Mohan Das,Hebbal,bicycle,4.3,2440,active,20,13.032374,77.567544
DP_00137,Karthik Verma,Brigade Road,bike,4.5,2372,active,41,12.981854,77.591577
DP_00138,Mohan Patil,Indiranagar,bike,4.0,1516,active,35,12.960248,77.578099
DP_00139,Karthik Reddy,Jayanagar,bike,4.9,3752,active,5,13.044529,77.512696
DP_00140,Arun Das,Bellandur,ev_scooter,4.1,1278,on_break,37,13.037298,77.601161
DP_00141,Sanjay Reddy,Electronic City,bicycle,4.3,1656,active,48,12.905727,77.628661
DP_00142,Ganesh Verma,JP Nagar,bike,4.1,1575,active,16,12.955302,77.6391
DP_00143,Ganesh Gowda,Koramangala,ev_scooter,4.1,5125,active,30,12.985379,77.506127
DP_00144,Amit Yadav,Whitefield,scooter,4.7,2856,on_break,18,12.937681,77.686846
DP_00145,Arun Das,Rajajinagar,ev_scooter,3.8,2941,on_break,40,12.944125,77.62766
DP_00146,Ganesh Verma,Electronic City,bicycle,4.7,6851,on_break,13,12.981927,77.680304
DP_00147,Naveen Singh,MG Road,bicycle,4.1,2185,active,44,13.0374,77.53732
DP_00148,Mohan Patil,JP Nagar,scooter,4.9,2862,active,37,12.925779,77.689213
DP_00149,Sanjay Sharma,BTM Layout,bicycle,4.3,6453,active,7,12.933533,77.698286
DP_00150,Suresh Verma,Bommanahalli,ev_scooter,4.1,260,on_break,32,12.97784,77.691252
DP_00151,Pradeep Kumar,Basavanagudi,bicycle,4.6,6382,active,17,12.933631,77.538832
DP_00152,Suresh Verma,Brigade Road,bike,4.9,977,on_break,39,12.972637,77.509378
DP_00153,Sanjay Gowda,Bommanahalli,scooter,3.9,358,active,24,12.931528,77.561516
DP_00154,Vikram Patil,JP Nagar,bike,4.0,2735,active,14,13.00934,77.573222
DP_00155,Sanjay Naik,Jayanagar,ev_scooter,4.6,7837,active,16,13.019821,77.589465
DP_00156,Ravi Kumar,JP Nagar,bicycle,4.9,1276,active,42,13.020357,77.556696
DP_00157,Ravi Gowda,HSR Layout,scooter,4.2,5093,active,8,13.004412,77.604744
DP_00158,Ravi Das,Basavanagudi,scooter,4.6,105,active,9,12.935251,77.602851
DP_00159,Sanjay Gowda,Basavanagudi,ev_scooter,3.7,1171,on_break,36,13.021365,77.661878
DP_00160,Manoj Kumar,Hebbal,bicycle,4.8,4830,active,29,12.980837,77.555908
DP_00161,Amit Patil,Marathahalli,bicycle,4.3,6118,on_break,18,12.981202,77.567907
DP_00162,Manoj Gowda,MG Road,bicycle,4.7,6944,active,12,12.975305,77.560908
DP_00163,Naveen Singh,Brigade Road,bike,4.7,3557,on_break,2,12.920419,77.670203
DP_00164,Ravi Reddy,Indiranagar,bicycle,4.1,1930,active,15,12.910912,77.547284
DP_00165,Raj Gowda,Whitefield,bicycle,3.6,95,active,31,12.905068,77.540818
DP_00166,Karthik Reddy,Hebbal,bike,3.9,2379,on_break,34,12.992536,77.577165
DP_00167,Mohan Patil,Brigade Road,scooter,4.2,7016,active,15,12.963461,77.679774
DP_00168,Mohan Yadav,Bellandur,ev_scooter,3.7,102,active,33,13.047718,77.640737
DP_00169,Vikram Sharma,Malleshwaram,bike,4.3,6647,on_break,46,12.981505,77.663271
DP_00170,Rahul Singh,Electronic City,scooter,3.8,1223,on_break,42,12.901063,77.560974
DP_00171,Ravi Naik,HSR Layout,bike,4.8,4306,active,17,12.973431,77.540791
DP_00172,Arun Gowda,Basavanagudi,bike,4.3,6332,active,34,13.005925,77.633031
DP_00173,Raj Reddy,Marathahalli,bicycle,4.2,2678,active,24,12.984306,77.553126
DP_00174,Manoj Reddy,Electronic City,bike,4.0,5117,active,43,13.011285,77.576483
DP_00175,Rahul Singh,Basavanagudi,ev_scooter,3.6,7169,active,29,13.044053,77.629084
DP_00176,Suresh Patil,Marathahalli,scooter,3.8,6498,inactive,14,13.038869,77.631079
DP_00177,Sanjay Kumar,Marathahalli,bicycle,3.8,1321,active,37,13.036446,77.54282
DP_00178,Naveen Reddy,Hebbal,bike,4.6,6598,active,38,12.911304,77.56064
DP_00179,Karthik Reddy,Basavanagudi,scooter,4.8,2713,active,45,13.044623,77.65787
DP_00180,Rahul Gowda,Basavanagudi,bicycle,3.9,1050,active,42,12.969454,77.648732
DP_00181,Rahul Reddy,Sarjapur Road,ev_scooter,3.9,7766,active,22,12.939156,77.550779
DP_00182,Deepak Singh,Sarjapur Road,scooter,4.8,4994,on_break,38,12.965819,77.537359
DP_00183,Arun Singh,Marathahalli,scooter,3.6,2069,active,39,12.970277,77.6054
DP_00184,Mohan Singh,Sarjapur Road,scooter,4.2,7384,on_break,9,12.986937,77.611662
DP_00185,Rahul Reddy,Bommanahalli,scooter,3.5,5581,inactive,7,12.920207,77.572861
DP_00186,Karthik Sharma,Indiranagar,scooter,3.6,414,active,36,12.973342,77.662167
DP_00187,Karthik Verma,Bellandur,ev_scooter,4.0,1775,active,47,13.005743,77.574439
DP_00188,Pradeep Reddy,Bommanahalli,scooter,4.5,3280,on_break,3,12.930299,77.555626
DP_00189,Rahul Naik,Banashankari,bike,4.7,7055,inactive,21,12.916422,77.513282
DP_00190,Rahul Das,Marathahalli,bike,3.5,1272,active,11,13.016883,77.645953
DP_00191,Mohan Gowda,MG Road,bike,3.6,1678,active,42,13.030179,77.602276
DP_00192,Deepak Sharma,Indiranagar,bike,4.4,3901,active,44,12.989023,77.518586
DP_00193,Amit Naik,Whitefield,bike,4.4,6044,active,14,12.923611,77.673346
DP_00194,Manoj Patil,Bellandur,scooter,3.6,5013,inactive,44,12.913385,77.522542
DP_00195,Suresh Reddy,Rajajinagar,scooter,3.6,5108,inactive,29,12.920398,77.568588
DP_00196,Raj Patil,Bommanahalli,scooter,3.8,5153,inactive,14,12.905553,77.614377
DP_00197,Manoj Gowda,Hebbal,scooter,4.3,5459,active,42,13.031531,77.662252
DP_00198,Suresh Reddy,Bommanahalli,bicycle,3.8,788,active,36,13.002456,77.62507
DP_00199,Naveen Gowda,Electronic City,bike,4.4,2725,on_break,10,12.989448,77.575115
DP_00200,Sanjay Das,Koramangala,scooter,4.6,3054,on_break,23,13.008236,77.667929
DP_00201,Raj Kumar,HSR Layout,scooter,4.6,4710,active,9,13.016883,77.616692
DP_00202,Raj Singh,Koramangala,scooter,5.0,1021,active,13,12.963579,77.571803
DP_00203,Karthik Gowda,JP Nagar,ev_scooter,4.0,7619,active,2,12.938904,77.51499
DP_00204,Ravi Reddy,Electronic City,ev_scooter,4.9,3510,active,40,12.924293,77.546161
DP_00205,Vikram Kumar,Sarjapur Road,scooter,4.4,553,active,47,13.044599,77.586244
DP_00206,Ravi Naik,MG Road,scooter,3.7,7095,active,42,13.041773,77.521408
DP_00207,Vikram Reddy,JP Nagar,bike,3.8,5869,on_break,3,12.937455,77.524939
DP_00208,Pradeep Naik,Brigade Road,ev_scooter,4.3,6344,active,24,12.963478,77.657368
DP_00209,Suresh Gowda,Brigade Road,ev_scooter,4.4,6426,on_break,24,12.942757,77.668701
DP_00210,Vikram Patil,BTM Layout,bike,3.7,6686,active,28,12.90041,77.508825
DP_00211,Raj Singh,Indiranagar,bike,3.6,268,on_break,48,13.018879,77.610769
DP_00212,Arun Naik,Whitefield,bicycle,4.6,787,active,28,12.977442,77.608875
DP_00213,Suresh Gowda,Bommanahalli,ev_scooter,3.7,4905,active,47,12.916227,77.568544
DP_00214,Arun Singh,Indiranagar,scooter,4.3,3397,active,16,12.908082,77.642524
DP_00215,Suresh Kumar,JP Nagar,bicycle,4.0,4397,on_break,32,12.945035,77.660205
DP_00216,Suresh Sharma,Marathahalli,bike,3.5,3614,active,35,13.028911,77.635273
DP_00217,Manoj Naik,Bellandur,bicycle,4.2,1725,active,1,12.950064,77.699952
DP_00218,Deepak Naik,Jayanagar,scooter,4.7,7582,on_break,17,13.02575,77.677927
DP_00219,Sanjay Reddy,Hebbal,bike,4.0,574,active,9,13.004922,77.595001
DP_00220,Ravi Yadav,Indiranagar,ev_scooter,4.1,870,active,22,12.994026,77.504987
DP_00221,Raj Singh,HSR Layout,bike,4.2,4028,active,8,13.037089,77.50747
DP_00222,Deepak Sharma,Yelahanka,bike,4.7,4661,inactive,46,12.994661,77.553911
DP_00223,Pradeep Sharma,Koramangala,bike,4.0,1460,active,40,12.991327,77.50758
DP_00224,Vikram Das,MG Road,ev_scooter,4.9,3285,inactive,34,13.048455,77.627776
DP_00225,Rahul Patil,HSR Layout,ev_scooter,4.5,6715,active,39,12.983481,77.558523
DP_00226,Naveen Naik,Hebbal,bike,3.7,4022,active,4,12.972753,77.614204
DP_00227,Rahul Reddy,BTM Layout,bicycle,4.2,1777,inactive,33,13.00046,77.619024
DP_00228,Deepak Singh,MG Road,ev_scooter,4.7,598,inactive,17,12.924771,77.586157
DP_00229,Ravi Sharma,Electronic City,ev_scooter,3.6,3824,on_break,35,13.026638,77.521138
DP_00230,Ravi Reddy,Hebbal,bike,4.4,5460,active,7,13.027443,77.680387
DP_00231,Raj Singh,Basavanagudi,scooter,4.1,5799,inactive,37,12.976943,77.600891
DP_00232,Arun Reddy,MG Road,bike,3.6,3690,on_break,47,13.025442,77.60073
DP_00233,Vikram Verma,MG Road,bike,4.7,7024,active,35,13.039211,77.678833
DP_00234,Karthik Reddy,Banashankari,scooter,4.6,3746,on_break,23,12.978292,77.647489
DP_00235,Deepak Patil,BTM Layout,bicycle,4.2,144,active,4,13.021781,77.5519
DP_00236,Manoj Patil,Indiranagar,bicycle,4.2,817,on_break,12,13.026318,77.57605
DP_00237,Vikram Das,HSR Layout,ev_scooter,3.6,5358,active,11,12.976635,77.599937
DP_00238,Vikram Reddy,MG Road,ev_scooter,4.3,4184,active,47,13.012823,77.615719
DP_00239,Ganesh Kumar,Sarjapur Road,bicycle,3.6,2955,active,8,12.938798,77.658094
DP_00240,Manoj Singh,MG Road,bicycle,4.1,4099,on_break,42,12.937217,77.597501
DP_00241,Karthik Sharma,Basavanagudi,bicycle,4.6,2950,active,30,12.987155,77.671799
DP_00242,Amit Yadav,Rajajinagar,bike,4.8,7637,active,41,12.942456,77.621965
DP_00243,Karthik Sharma,Rajajinagar,bicycle,4.9,3566,active,29,12.976755,77.530338
DP_00244,Ravi Reddy,Bellandur,bicycle,3.7,1216,active,23,12.987,77.548632
DP_00245,Vikram Verma,Hebbal,scooter,3.5,7977,active,15,12.939888,77.580026
DP_00246,Rahul Das,Bommanahalli,bike,4.8,1176,on_break,26,12.971929,77.698119
DP_00247,Arun Das,Bommanahalli,bike,4.1,5155,on_break,6,12.944985,77.54289
DP_00248,Deepak Sharma,Whitefield,bicycle,4.5,4962,active,11,13.049787,77.674627
DP_00249,Suresh Sharma,Hebbal,scooter,4.2,3389,on_break,22,12.927987,77.549725
DP_00250,Pradeep Verma,Yelahanka,bike,4.1,6437,on_break,2,13.036501,77.572063
DP_00251,Raj Yadav,Yelahanka,ev_scooter,3.7,1070,active,28,12.947683,77.506313
DP_00252,Mohan Yadav,Jayanagar,bicycle,3.5,4696,active,5,12.970507,77.648067
DP_00253,Raj Verma,HSR Layout,scooter,4.6,4920,active,35,12.994573,77.609341
DP_00254,Sanjay Naik,Koramangala,ev_scooter,4.7,1241,active,6,12.966428,77.58274
DP_00255,Raj Sharma,Whitefield,bicycle,4.4,7579,active,25,13.042078,77.609183
DP_00256,Ganesh Verma,Brigade Road,scooter,4.5,4815,active,40,12.982433,77.562323
DP_00257,Manoj Das,Bommanahalli,bicycle,4.5,7150,active,22,12.988253,77.695779
DP_00258,Suresh Singh,Indiranagar,scooter,4.6,5616,active,44,13.017157,77.698937
DP_00259,Mohan Naik,BTM Layout,bike,4.0,626,active,28,13.002415,77.512373
DP_00260,Karthik Verma,Brigade Road,ev_scooter,3.8,2625,active,46,12.997143,77.520002
DP_00261,Vikram Gowda,MG Road,bicycle,4.4,3154,active,4,12.903716,77.631213
DP_00262,Vikram Reddy,MG Road,bicycle,4.3,4804,active,4,12.943998,77.575267
DP_00263,Ganesh Yadav,Rajajinagar,ev_scooter,4.1,3412,active,28,12.93932,77.502871
DP_00264,Pradeep Naik,Banashankari,bicycle,4.2,3679,active,2,12.985682,77.656503
DP_00265,Raj Gowda,Banashankari,scooter,3.8,4198,on_break,2,12.963773,77.548503
DP_00266,Vikram Naik,Malleshwaram,ev_scooter,4.7,7048,active,27,12.950476,77.557838
DP_00267,Manoj Gowda,Whitefield,bicycle,3.8,489,active,44,12.963824,77.671115
DP_00268,Amit Reddy,Whitefield,bicycle,3.8,6292,inactive,28,13.04465,77.595673
DP_00269,Vikram Naik,Sarjapur Road,scooter,4.6,5073,active,2,12.915548,77.535376
DP_00270,Suresh Gowda,Whitefield,bicycle,4.3,4285,active,4,12.900918,77.680887
DP_00271,Ravi Singh,Basavanagudi,ev_scooter,4.4,3294,active,32,13.048746,77.52557
DP_00272,Amit Das,HSR Layout,bicycle,4.2,6485,on_break,18,12.966917,77.698843
DP_00273,Raj Yadav,Hebbal,scooter,4.5,3531,active,47,12.916636,77.532925
DP_00274,Karthik Yadav,Jayanagar,scooter,4.6,7295,active,15,12.964513,77.639287
DP_00275,Sanjay Verma,Rajajinagar,bike,4.2,2920,on_break,41,12.925321,77.69668
DP_00276,Amit Yadav,Bommanahalli,scooter,3.7,4616,active,15,12.975519,77.67573
DP_00277,Raj Yadav,Malleshwaram,bike,3.5,7787,active,20,12.997923,77.557041
DP_00278,Pradeep Reddy,Bellandur,scooter,4.8,678,active,13,12.923125,77.642585
DP_00279,Vikram Verma,Bellandur,ev_scooter,4.5,5135,inactive,6,12.967613,77.680234
DP_00280,Raj Sharma,Rajajinagar,scooter,4.5,5334,active,48,12.924954,77.533944
DP_00281,Sanjay Verma,Jayanagar,ev_scooter,4.5,6764,active,31,12.953045,77.502523
DP_00282,Ravi Singh,Basavanagudi,ev_scooter,4.9,6822,active,22,13.007214,77.538872
DP_00283,Deepak Sharma,Rajajinagar,bicycle,4.6,4170,on_break,18,12.993619,77.545887
DP_00284,Naveen Yadav,BTM Layout,bike,3.6,7593,on_break,41,13.011046,77.60294
DP_00285,Arun Patil,Rajajinagar,bicycle,4.3,598,on_break,23,13.048335,77.555771
DP_00286,Naveen Gowda,Yelahanka,bicycle,3.9,488,on_break,14,13.022917,77.675802
DP_00287,Arun Das,HSR Layout,scooter,4.2,6474,active,1,12.996268,77.630182
DP_00288,Rahul Das,JP Nagar,bike,3.7,3789,on_break,33,12.999161,77.674827
DP_00289,Raj Das,Rajajinagar,ev_scooter,5.0,4372,active,10,13.03272,77.652867
DP_00290,Ravi Yadav,Brigade Road,bicycle,4.2,5809,active,31,12.915698,77.667949
DP_00291,Vikram Naik,Electronic City,scooter,3.6,783,on_break,39,12.981067,77.692701
DP_00292,Amit Yadav,Yelahanka,scooter,4.9,6862,active,15,12.988859,77.532547
DP_00293,Rahul Das,BTM Layout,bike,3.7,973,on_break,43,12.982456,77.506017
DP_00294,Naveen Das,Marathahalli,scooter,5.0,4285,on_break,4,13.006754,77.611409
